panel	variant	file	provider	seed	width	height	bytes	created	status	note	stage
001-01	v01	assets/art/panels/001-01/v01-flux2-klein-4b-1001.webp	flux2-klein-4b	1001	1200	800	309538	2026-09-03T16:21:46+00:00	candidate		refined
001-01	v02	assets/art/panels/001-01/v02-flux2-klein-4b-2001.webp	flux2-klein-4b	2001	1200	800	327556	2026-09-03T16:23:12+00:00	candidate		refined
001-01	v03	assets/art/panels/001-01/v03-flux2-klein-4b-4001.webp	flux2-klein-4b	4001	1200	800	325552	2026-09-03T18:57:45+00:00	candidate		refined
001-01	v04	assets/art/panels/001-01/v04-flux2-klein-4b-4001.webp	flux2-klein-4b	4001	1200	800	283090	2026-09-03T20:52:26+00:00	candidate		refined
001-01	v05	assets/art/panels/001-01/v05-storyboard-svg.svg	storyboard-svg		1200	800	17233	2026-09-07T14:11:22+00:00	candidate		storyboard
001-01	v06	assets/art/panels/001-01/v06-storyboard-svg.svg	storyboard-svg		1200	800	12593	2026-09-07T14:13:12+00:00	candidate		storyboard
001-01	v07	assets/art/panels/001-01/v07-builtin-image-pilot.png	builtin-image-pilot		1536	1024	2339396	2026-09-07T18:22:42+00:00	candidate	Pilot: readable aisle and exact handle; task label remains below blocks, not final header design.	refined
001-01	v08	assets/art/panels/001-01/v08-storyboard-svg.svg	storyboard-svg		1200	800	12836	2026-09-07T18:25:46+00:00	candidate		storyboard
001-01	v09	assets/art/panels/001-01/v09-builtin-image-pilot.png	builtin-image-pilot		1536	1024	2371777	2026-09-07T19:00:46+00:00	chosen	Opening follow-up: exact handle moved above task blocks; aisle and caption clearance retained; provisional.	refined
001-01	v10	assets/art/panels/001-01/v10-storyboard-svg.svg	storyboard-svg		1200	800	13358	2026-09-12T21:18:26+00:00	candidate		storyboard
001-01	v11	assets/art/panels/001-01/v11-storyboard-svg.svg	storyboard-svg		1200	800	14021	2026-09-12T22:35:06+00:00	candidate		storyboard
001-01	v12	assets/art/panels/001-01/v12-storyboard-svg.svg	storyboard-svg		1200	800	23053	2026-09-12T23:00:59+00:00	candidate		storyboard
001-01	v13	assets/art/panels/001-01/v13-storyboard-svg.svg	storyboard-svg		1200	800	23093	2026-09-12T23:55:10+00:00	candidate		storyboard
001-01	v14	assets/art/panels/001-01/v14-storyboard-svg.svg	storyboard-svg		1200	800	23250	2026-09-13T01:34:47+00:00	candidate		storyboard
001-02	v01	assets/art/panels/001-02/v01-flux2-klein-4b-4001.webp	flux2-klein-4b	4001	1200	800	361226	2026-09-04T22:43:04+00:00	candidate		refined
001-02	v02	assets/art/panels/001-02/v02-flux2-klein-4b-4001.webp	flux2-klein-4b	4001	1200	800	383228	2026-09-04T22:43:04+00:00	chosen		refined
