panel	page	chapter	register	type	route	strings	longest	text_chars
001-01	001	prologue	incident	text-light	local	1	13	13
001-02	001	prologue	incident	diagram	structure	1	5	5
001-03	001	prologue	incident	diagram	structure	0	0	0
001-04	001	prologue	incident	diagram	structure	0	0	0
001-05	001	prologue	incident	diagram	structure	0	0	0
002-01	002	prologue	incident	diagram	structure	0	0	0
002-02	002	prologue	incident	scene	local	0	0	0
002-03	002	prologue	incident	scene	local	0	0	0
002-04	002	prologue	incident	scene	local	0	0	0
002-05	002	prologue	incident	scene	local	0	0	0
003-01	003	prologue	incident	diagram	structure	0	0	0
003-02	003	prologue	incident	diagram	structure	0	0	0
003-03	003	prologue	incident	scene	local	0	0	0
003-04	003	prologue	incident	scene	local	0	0	0
003-05	003	prologue	incident	text-light	local	1	13	13
004-01	004	prologue	incident	text-light	local	1	13	13
004-02	004	prologue	incident	diagram	structure	0	0	0
004-03	004	prologue	incident	diagram	structure	0	0	0
004-04	004	prologue	incident	text-light	local	1	13	13
004-05	004	prologue	incident	text-light	local	1	9	9
005-01	005	prologue	incident	scene	local	0	0	0
005-02	005	prologue	incident	scene	local	0	0	0
005-03	005	prologue	incident	scene	local	0	0	0
005-04	005	prologue	incident	text-light	local	1	2	2
005-05	005	prologue	incident	diagram	structure	0	0	0
006-01	006	prologue	incident	scene	local	0	0	0
007-01	007	prologue	incident	scene	local	0	0	0
008-01	008	prologue	incident	text-light	local	2	6	11
008-02	008	prologue	incident	diagram	structure	0	0	0
008-03	008	prologue	incident	text-light	local	1	6	6
008-04	008	prologue	incident	scene	local	0	0	0
008-05	008	prologue	incident	scene	local	0	0	0
009-01	009	prologue	incident	text-light	local	1	14	14
009-02	009	prologue	incident	scene	local	0	0	0
009-03	009	prologue	incident	diagram	structure	0	0	0
009-04	009	prologue	incident	text-light	local	1	14	14
009-05	009	prologue	incident	diagram	structure	0	0	0
010-01	010	prologue	incident	text-heavy	text-fidelity	1	19	19
010-02	010	prologue	incident	dossier	structure	0	0	0
010-03	010	prologue	incident	text-heavy	text-fidelity	2	23	43
010-04	010	prologue	incident	diagram	structure	0	0	0
010-05	010	prologue	incident	text-light	local	3	10	22
011-01	011	prologue	incident	scene	local	0	0	0
011-02	011	prologue	incident	scene	local	0	0	0
011-03	011	prologue	incident	scene	local	0	0	0
011-04	011	prologue	incident	scene	local	0	0	0
011-05	011	prologue	incident	scene	local	0	0	0
012-01	012	prologue	incident	scene	local	0	0	0
012-02	012	prologue	incident	diagram	structure	0	0	0
012-03	012	prologue	incident	scene	local	0	0	0
012-04	012	prologue	incident	scene	local	0	0	0
012-05	012	prologue	incident	diagram	structure	0	0	0
012-06	012	prologue	incident	text-light	local	1	2	2
013-01	013	prologue	creator	portrait	reference	0	0	0
013-02	013	prologue	creator	portrait	reference	0	0	0
013-03	013	prologue	creator	portrait	reference	0	0	0
013-04	013	prologue	creator	portrait	reference	0	0	0
013-05	013	prologue	creator	portrait	reference	0	0	0
014-01	014	prologue	creator	portrait	reference	0	0	0
014-02	014	prologue	creator	portrait	reference	0	0	0
014-03	014	prologue	creator	text-heavy	text-fidelity	4	17	54
014-04	014	prologue	creator	portrait	reference	1	13	13
014-05	014	prologue	creator	portrait	reference	0	0	0
015-01	015	prologue	creator	portrait	reference	3	24	50
