style	ecc	version	modules	ants	offered	rejected	shrunk	repairs	fitted	module_errors	function_errors	dark_errors	light_errors	budget	corrected	spent	worst_block	binary_errors	finders	dark_cell	light_cell	worst_light	faint_dark	ink	contrast	reads	reads_blurred	reason
plain	L	5	37	0	0	0	0	0	1.0000	0	0	0	0	13	0	0.0000	0.0000	0	3	1.0000	0.0000	0.0000	0	0.3259	1.0000	yes	yes	decoded
grid	L	5	37	757	660	0	215	97	1.0000	0	0	0	0	13	0	0.0000	0.0000	0	3	0.6631	0.0617	0.2196	0	0.2393	0.6014	yes	yes	decoded
swarm	L	5	37	1852	1980	273	1035	145	0.8621	0	0	0	0	13	0	0.0000	0.0000	5	3	0.7789	0.1100	0.2198	0	0.2984	0.6689	yes	yes	decoded
dense	L	5	37	3407	4620	1261	2489	48	0.7271	1	0	0	1	13	1	0.0769	0.0769	10	3	0.8489	0.1324	0.2200	0	0.3320	0.7166	yes	yes	decoded
bold	L	5	37	1884	2640	840	1403	84	0.6818	34	0	0	34	13	14	1.0769	1.0769	53	3	0.8396	0.1948	0.3500	0	0.3512	0.6449	no	no	a block exceeded its correction capacity
bolder	L	5	37	1858	2970	1182	1438	70	0.6020	124	0	0	124	13	14	1.0769	1.0769	130	3	0.8739	0.2838	0.5000	0	0.3972	0.5901	no	no	a block exceeded its correction capacity
halftone	L	5	37	2439	4107	1791	1427	123	0.5639	304	0	0	304	13	14	1.0769	1.0769	281	3	0.7890	0.3462	0.5000	0	0.3854	0.4428	no	no	a block exceeded its correction capacity
wild	L	5	37	1186	1650	464	189	0	0.7188	468	0	24	444	13	14	1.0769	1.0769	424	3	0.9348	0.5921	1.0000	22	0.5387	0.3427	no	no	a block exceeded its correction capacity
plain	M	6	41	0	0	0	0	0	1.0000	0	0	0	0	32	0	0.0000	0.0000	0	3	1.0000	0.0000	0.0000	0	0.3532	1.0000	yes	yes	decoded
grid	M	6	41	953	848	0	228	105	1.0000	0	0	0	0	32	0	0.0000	0.0000	0	3	0.6418	0.0659	0.2196	0	0.2505	0.5759	yes	yes	decoded
swarm	M	6	41	2383	2544	324	1200	163	0.8726	0	0	0	0	32	0	0.0000	0.0000	8	3	0.7699	0.1175	0.2198	0	0.3180	0.6524	yes	yes	decoded
dense	M	6	41	4426	5936	1555	3136	45	0.7380	1	0	0	1	32	1	0.0312	0.1250	12	3	0.8432	0.1394	0.2198	0	0.3562	0.7037	yes	yes	decoded
bold	M	6	41	2508	3392	976	1795	92	0.7123	35	0	0	35	32	30	0.9375	1.1250	66	3	0.8385	0.2070	0.3500	0	0.3797	0.6315	no	yes	a block exceeded its correction capacity
bolder	M	6	41	2578	3816	1311	1962	73	0.6564	159	0	0	159	32	36	1.1250	1.1250	158	3	0.8799	0.3029	0.5000	0	0.4313	0.5771	no	no	a block exceeded its correction capacity
halftone	M	6	41	3220	5043	1959	1843	136	0.6115	394	0	0	394	32	36	1.1250	1.1250	406	3	0.7817	0.3656	0.5000	0	0.4093	0.4161	no	no	a block exceeded its correction capacity
wild	M	6	41	1636	2120	484	204	0	0.7717	557	0	27	530	32	36	1.1250	1.1250	513	3	0.9383	0.6131	1.0000	21	0.5659	0.3252	no	no	a block exceeded its correction capacity
plain	Q	8	49	0	0	0	0	0	1.0000	0	0	0	0	66	0	0.0000	0.0000	0	3	1.0000	0.0000	0.0000	0	0.3903	1.0000	yes	yes	decoded
grid	Q	8	49	1413	1268	0	313	145	1.0000	0	0	0	0	66	0	0.0000	0.0000	0	3	0.6451	0.0730	0.2198	0	0.2784	0.5721	yes	yes	decoded
swarm	Q	8	49	3573	3804	464	1886	233	0.8780	0	0	0	0	66	0	0.0000	0.0000	9	3	0.7690	0.1223	0.2200	0	0.3473	0.6468	yes	yes	decoded
dense	Q	8	49	6688	8876	2224	4828	36	0.7494	4	0	0	4	66	4	0.0606	0.1818	17	3	0.8518	0.1473	0.2200	0	0.3919	0.7045	yes	yes	decoded
bold	Q	8	49	3731	5072	1469	2704	128	0.7104	52	0	0	52	66	48	0.7273	1.0000	73	3	0.8428	0.2195	0.3500	0	0.4153	0.6233	no	yes	fails through a local binariser: a block exceeded its correction capacity
bolder	Q	8	49	3777	5706	2028	2885	99	0.6446	226	0	0	226	66	72	1.0909	1.0909	208	3	0.8830	0.3201	0.5000	0	0.4696	0.5630	no	no	a block exceeded its correction capacity
halftone	Q	8	49	4562	7203	2839	2534	198	0.6059	517	0	0	517	66	72	1.0909	1.0909	500	3	0.7948	0.3789	0.5000	0	0.4473	0.4160	no	no	a block exceeded its correction capacity
wild	Q	8	49	2524	3170	646	304	0	0.7962	815	0	36	779	66	72	1.0909	1.0909	738	3	0.9510	0.6605	1.0000	25	0.6238	0.2905	no	no	a block exceeded its correction capacity
plain	H	10	57	0	0	0	0	0	1.0000	0	0	0	0	112	0	0.0000	0.0000	0	3	1.0000	0.0000	0.0000	0	0.3938	1.0000	yes	yes	decoded
grid	H	10	57	1873	1664	0	341	209	1.0000	0	0	0	0	112	0	0.0000	0.0000	5	3	0.6181	0.0763	0.2197	0	0.2732	0.5418	yes	yes	decoded
swarm	H	10	57	4760	4992	584	2487	352	0.8830	0	0	0	0	112	0	0.0000	0.0000	15	3	0.7483	0.1261	0.2198	0	0.3462	0.6222	yes	yes	decoded
dense	H	10	57	8799	11648	2958	6305	109	0.7461	3	0	0	3	112	3	0.0268	0.0714	18	3	0.8318	0.1518	0.2200	0	0.3924	0.6800	yes	yes	decoded
bold	H	10	57	5006	6656	1844	3621	194	0.7230	63	0	0	63	112	61	0.5446	0.8571	105	3	0.8253	0.2231	0.3500	0	0.4176	0.6021	no	yes	fails through a local binariser: a block exceeded its correction capacity
bolder	H	10	57	5009	7488	2623	3824	144	0.6497	316	0	0	316	112	120	1.0714	1.0714	289	3	0.8688	0.3274	0.5000	0	0.4774	0.5415	no	no	a block exceeded its correction capacity
halftone	H	10	57	6334	9747	3701	3450	288	0.6203	744	0	0	744	112	120	1.0714	1.0714	725	3	0.7714	0.3947	0.5000	0	0.4576	0.3767	no	no	a block exceeded its correction capacity
wild	H	10	57	3468	4160	692	337	0	0.8337	1197	0	58	1139	112	120	1.0714	1.0714	1081	3	0.9451	0.6928	1.0000	39	0.6534	0.2523	no	no	a block exceeded its correction capacity
